generation,fitness
1,53.09514846194053
2,77.17705624398108
3,77.17705624398108
4,77.17705624398108
5,79.45966188081482
6,79.45966188081482
7,90.76921922712124
8,95.90795253484694
9,117.08962385453992
10,117.08962385453992
11,117.08962385453992
12,117.08962385453992
13,117.9006121315934
14,117.9006121315934
15,126.91230229363411
16,137.28391935155977
17,148.47558923929188
18,154.523906060553
19,154.523906060553
20,154.523906060553
21,161.64844027099906
22,167.20480986058138
23,167.6464875599914
24,168.1570668291087
25,170.80392207496442
26,174.51207123208522
27,190.14861678637493
28,190.14861678637493
29,190.68112144018272
30,218.90632641495537
31,218.90632641495537
32,218.90632641495537
33,218.90632641495537
34,218.90632641495537
35,218.90632641495537
36,218.90632641495537
37,218.90632641495537
38,220.07046232410391
39,235.27500335033773
40,235.27500335033773
41,235.27500335033773
42,239.17110264345126
43,241.6330867166841
44,248.30780154917025
45,260.7044875263111
46,260.7044875263111
47,271.4946960831793
48,271.4946960831793
49,271.4946960831793
50,294.9123926180865
51,302.54337789553296
52,302.54337789553296
53,322.34091356858875
54,322.34091356858875
55,322.34091356858875
56,322.34091356858875
57,322.34091356858875
58,322.34091356858875
59,329.4934057074325
60,329.4934057074325
61,331.92009909626387
62,331.92009909626387
63,345.21853641846405
64,352.4175916826061
65,352.4175916826061
66,352.4175916826061
67,352.4175916826061
68,356.6445935211496
69,375.0305079457671
70,375.0305079457671
71,375.0305079457671
72,386.1998667203905
73,387.2753510947686
74,393.8595219479121
75,393.8595219479121
76,393.8595219479121
77,415.6848809965451
78,418.8613226273936
79,418.8613226273936
80,418.8613226273936
81,418.8613226273936
82,418.8613226273936
83,418.8613226273936
84,418.8613226273936
85,418.8613226273936
86,418.8613226273936
87,418.8613226273936
88,419.8855278101189
89,422.86209099496006
90,426.08047554372166
91,434.08689295044996
92,436.1472018547245
93,437.44785558012995
94,437.44785558012995
95,444.3135624149601
96,444.3135624149601
97,444.3135624149601
98,444.91549071679253
99,455.1572564020712
100,455.1572564020712
101,455.1572564020712
102,492.47141996787417
103,492.47141996787417
104,492.47141996787417
105,492.47141996787417
106,492.47141996787417
107,492.47141996787417
108,492.76835257120695
109,492.9503653277755
110,492.9503653277755
111,495.9608310464432
112,502.89166221916565
113,505.0831220356985
114,505.0831220356985
115,508.3239377856234
116,508.787373862332
117,508.787373862332
118,535.5498929098421
119,535.5498929098421
120,535.5498929098421
121,535.5498929098421
122,535.5498929098421
123,542.1441436258131
124,542.1441436258131
125,542.1441436258131
126,542.1441436258131
127,556.5864007541578
128,556.5864007541578
129,556.5864007541578
130,578.2833737741789
131,581.9174864678916
132,581.9174864678916
133,581.9174864678916
134,590.750245189667
135,590.750245189667
136,603.3347768787463
137,603.3347768787463
138,603.3347768787463
139,607.2830789059772
140,607.2830789059772
141,627.0109117563218
142,627.0109117563218
143,627.0109117563218
144,627.0109117563218
145,627.0109117563218
146,627.0109117563218
147,630.4661824602562
148,630.4661824602562
149,643.0557390789705
150,643.0557390789705
151,643.0557390789705
152,644.8252978396617
153,644.8252978396617
154,644.8252978396617
